Year, Month, Date, Hour, Weekday, Item ID, Item Name, Min. Buyout, Number of Auctions
2019,11,11,22,0,6371,"Fire Oil",1995,102
2019,11,11,22,0,5634,"Free Action Potion",15597,568
2019,11,11,22,0,9030,"Restorative Potion",34899,129
2019,11,11,22,0,7067,"Elemental Earth",23750,53
2019,11,11,22,0,3821,"Goldthorn",2963,47
2019,11,11,22,0,13423,"Stonescale Oil",1490,23
2019,11,11,22,0,9264,"Elixir of Shadow Power",29600,31
2019,11,11,22,0,8845,"Ghost Mushroom",8966,60
2019,11,11,22,0,13511,"Flask of Distilled Wisdom",1638383,8
2019,11,11,22,0,13468,"Black Lotus",1050000,9
2019,11,11,22,0,13467,"Ice Cap",5100,120
2019,11,11,22,0,13463,"Dreamfoil",6626,22
2019,11,11,22,0,13512,"Flask of Supreme Power",1699500,17
2019,11,11,22,0,13465,"Mountain Silversage",10725,30
2019,11,11,22,0,13510,"Flask of the Titans",1649999,12
2019,11,11,22,0,8846,"Gromsblood",1950,154
2019,11,11,22,0,13457,"Greater Fire Protection Potion",69999,139
2019,11,11,22,0,7068,"Elemental Fire",63010,115
2019,11,11,22,0,13931,"Nightfin Soup",3499,47
2019,11,11,22,0,13759,"Raw Nightfin Snapper",3000,19
2019,11,11,22,0,6358,"Oily Blackmouth",2400,165
2019,11,11,22,0,3820,"Stranglekelp",2120,76
2019,11,11,22,0,6370,"Blackmouth Oil",5300,62
2019,11,11,22,0,12363,"Arcane Crystal",488999,21
2019,11,11,22,0,12359,"Thorium Bar",3215,89
2019,11,11,22,0,12360,"Arcanite Bar",538000,37
2019,11,11,22,0,10646,"Goblin Sapper Charge",25000,46
2019,11,11,22,0,10505,"Solid Blasting Powder",2500,7
2019,11,11,22,0,7912,"Solid Stone",1633,124
2019,11,11,22,0,4338,"Mageweave Cloth",372,115
2019,11,11,22,0,10560,"Unstable Trigger",11023,33
2019,11,11,22,0,3860,"Mithril Bar",1940,74
2019,11,11,23,0,6371,"Fire Oil",1995,79
2019,11,11,23,0,5634,"Free Action Potion",15597,208
2019,11,11,23,0,9030,"Restorative Potion",34710,137
2019,11,11,23,0,7067,"Elemental Earth",23600,58
2019,11,11,23,0,3821,"Goldthorn",2800,52
2019,11,11,23,0,13423,"Stonescale Oil",1490,23
2019,11,11,23,0,9264,"Elixir of Shadow Power",30200,26
2019,11,11,23,0,8845,"Ghost Mushroom",8900,52
2019,11,11,23,0,13511,"Flask of Distilled Wisdom",1620000,9
2019,11,11,23,0,13468,"Black Lotus",1151500,3
2019,11,11,23,0,13467,"Ice Cap",3500,130
2019,11,11,23,0,13463,"Dreamfoil",7500,27
2019,11,11,23,0,13512,"Flask of Supreme Power",1709499,13
2019,11,11,23,0,13465,"Mountain Silversage",9749,31
2019,11,11,23,0,13510,"Flask of the Titans",1649999,12
2019,11,11,23,0,8846,"Gromsblood",2000,106
2019,11,11,23,0,13457,"Greater Fire Protection Potion",73996,149
2019,11,11,23,0,7068,"Elemental Fire",62301,112
2019,11,11,23,0,13931,"Nightfin Soup",3500,42
2019,11,11,23,0,13759,"Raw Nightfin Snapper",3499,14
2019,11,11,23,0,6358,"Oily Blackmouth",1040,155
2019,11,11,23,0,3820,"Stranglekelp",2472,74
2019,11,11,23,0,6370,"Blackmouth Oil",5300,65
2019,11,11,23,0,12363,"Arcane Crystal",449999,25
2019,11,11,23,0,12359,"Thorium Bar",2899,119
2019,11,11,23,0,12360,"Arcanite Bar",540000,28
2019,11,11,23,0,10646,"Goblin Sapper Charge",27199,28
2019,11,11,23,0,10505,"Solid Blasting Powder",3800,5
2019,11,11,23,0,7912,"Solid Stone",1765,127
2019,11,11,23,0,4338,"Mageweave Cloth",441,73
2019,11,11,23,0,10560,"Unstable Trigger",10800,38
2019,11,11,23,0,3860,"Mithril Bar",1935,104
2019,11,12,0,1,6371,"Fire Oil",1875,80
2019,11,12,0,1,5634,"Free Action Potion",15204,264
2019,11,12,0,1,9030,"Restorative Potion",34896,142
2019,11,12,0,1,7067,"Elemental Earth",19200,55
2019,11,12,0,1,3821,"Goldthorn",2300,59
2019,11,12,0,1,13423,"Stonescale Oil",1490,18
2019,11,12,0,1,9264,"Elixir of Shadow Power",30000,33
2019,11,12,0,1,8845,"Ghost Mushroom",8900,50
2019,11,12,0,1,13511,"Flask of Distilled Wisdom",1620000,7
2019,11,12,0,1,13468,"Black Lotus",1140000,4
2019,11,12,0,1,13467,"Ice Cap",4598,117
2019,11,12,0,1,13463,"Dreamfoil",5399,143
2019,11,12,0,1,13512,"Flask of Supreme Power",1709900,18
